condition,question,ground_truth,answer,faithfulness_score,is_hallucination,mean_retrieval_similarity,latency_s,dataset
baseline,Amblyopia: is visual loss permanent?,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.," Based on the provided context, it appears that some cases of amblyopia (9 out of 12) showed an improvement in visual acuity after a period of time, but the context does not specify whether this improvement was permanent or temporary. Therefore, I cannot definitively say whether visual loss due to amblyopia is always permanent based on the provided information.",0.4817,True,0.5044,3.31,pubmedqa
hcpc_v1,Amblyopia: is visual loss permanent?,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.," The provided context does not specify whether visual loss due to amblyopia is permanent or not. However, it mentions that improvement in visual acuity was observed in cases with a history of amblyopia, which might suggest that some degree of recovery is possible. But without further information, it's hard to definitively say if visual loss from amblyopia is always permanent.",0.5564,False,0.6298,3.04,pubmedqa
hcpc_v2,Amblyopia: is visual loss permanent?,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.," Based on the provided context, it appears that some cases of amblyopia (12 out of 189) showed an improvement in visual acuity over a period of time. However, the context does not explicitly state that visual loss due to amblyopia is permanent or reversible. Therefore, I cannot definitively say whether visual loss due to amblyopia is permanent based solely on this information.",0.4326,True,0.5044,3.65,pubmedqa
crag,Amblyopia: is visual loss permanent?,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.," Based on the provided context, it appears that some cases of amblyopia may improve over time, but the text does not explicitly state whether visual loss in amblyopia is permanently fixed or not. The improvement in visual acuity for amblyopic eyes was observed in 12 cases, and the improvement generally occurred between 1 and 12 months from baseline and remained stable over the period of follow-up. However, it's important to note that this study only looked at a specific group of patients with age-related macular degeneration, and further research may be needed to determine if these findings apply more broadly to all cases of amblyopia.",0.4126,True,0.5044,4.95,pubmedqa
baseline,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory."," I cannot find this information in the provided context as it does not specify whether the standard of effective analgesia can be reached in all women. The context only mentions that the use of epidural analgesia increased significantly during the audit period, but it does not provide information about its reachability for all women.",0.5958,False,0.5077,2.83,pubmedqa
hcpc_v1,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory."," Based on the provided context, it is not explicitly stated that the standard of effective analgesia (implementation of epidural analgesia for labor to all patients) is reachable in all women. However, the increase in the use of epidural analgesia from 15.5% to 51% over the course of the study suggests an improvement towards this standard.",0.6024,False,0.5111,2.92,pubmedqa
hcpc_v2,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory."," Based on the provided context, it is not stated whether the standard of effective analgesia (implementing epidural analgesia for labor to all patients) is reachable in all women. The context only mentions an increase in the use of epidural analgesia from 15.5% to 51%, but it does not indicate that this increase reached all women.",0.5164,False,0.5042,3.12,pubmedqa
crag,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory."," I cannot find this specific information about whether the standard of effective analgesia can be reached in all women, as the provided context only mentions that epidural analgesia increased significantly over the course of the study but does not specify if it reached 100% implementation for all women.",0.5372,False,0.8193,2.26,pubmedqa
baseline,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.," Yes, according to the provided context, HER2 immunoreactivity provides prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy. It was found to be a significant factor for PFS and disease-specific OS using univariate analysis, but not multivariate analysis.",0.7376,False,0.6943,3.21,pubmedqa
hcpc_v1,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.," Yes, according to the provided context, HER2 immunoreactivity provides prognostic information for progression-free survival (PFS) and disease-specific overall survival (OS) in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy. However, it is only a significant factor using univariate analysis, not multivariate analysis.",0.7,False,0.6945,3.05,pubmedqa
hcpc_v2,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.," Yes, according to the provided context, HER2 immunoreactivity provides prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy. It was found to be a significant factor for PFS and disease-specific OS using univariate analysis, but not multivariate analysis.",0.7376,False,0.6939,2.83,pubmedqa
crag,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.," Yes, according to the provided context, HER2 immunoreactivity was found to be a significant prognostic factor for Progression-Free Survival (PFS) and disease-specific Overall Survival (OS) in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy. However, it was only significant in univariate analysis, not in multivariate analysis.",0.7302,False,0.8597,3.59,pubmedqa
baseline,Is halofantrine ototoxic?,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug."," Yes, according to the provided context, halofantrine appears to be ototoxic as it caused loss and distortion of inner hair cells, inner phalangeal cells, and spiral ganglia cells in guinea pigs.",0.8702,False,0.3795,2.47,pubmedqa
hcpc_v1,Is halofantrine ototoxic?,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug.", I cannot find this information in the provided context. The context does not mention anything about Halofantrine being ototoxic (causing damage to the ear or hearing).,0.5833,False,0.3884,1.41,pubmedqa
hcpc_v2,Is halofantrine ototoxic?,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug."," Yes, according to the provided context, halofantrine appears to be ototoxic as it caused loss and distortion of inner hair cells, inner phalangeal cells, and spiral ganglia cells in guinea pigs.",0.8702,False,0.3813,2.41,pubmedqa
crag,Is halofantrine ototoxic?,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug."," Yes, according to the provided context, halofantrine appears to be ototoxic as it causes loss and distortion of inner hair cells, inner phalangeal cells, and spiral ganglia cells.",0.853,False,0.6101,1.71,pubmedqa
baseline,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location."," Yes, according to the provided context, the visceral adipose tissue (VAT) area measured at a single level, specifically 3 cm above the lower margin of L3, can correlate with changes in VAT volume. However, it does not necessarily directly represent VAT volume but shows a strong correlation with it.",0.6126,False,0.3739,3.07,pubmedqa
hcpc_v1,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location."," Based on the provided context, there is no information about whether visceral adipose tissue area measurement at a single level can represent visceral adipose tissue volume. The context discusses the study's purpose to determine the optimal CT slice location for VAT area to reflect changes in VAT volume and body weight, but it does not directly address if a single-level measurement can represent the total volume.",0.4768,True,0.4057,3.11,pubmedqa
hcpc_v2,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location."," Yes, according to the provided context, the visceral adipose tissue (VAT) area measured at a single level, specifically 3 cm above the lower margin of L3, can correlate with changes in VAT volume. However, it does not necessarily directly represent VAT volume, but rather reflects changes that may occur in the VAT volume.",0.6978,False,0.3739,3.22,pubmedqa
crag,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location."," Yes, according to the provided context, visceral adipose tissue (VAT) area measurement at a single level 3 cm above the lower margin of L3 can represent VAT volume as it shows a strong correlation with VAT volume, with an r value of 0.853.",0.5821,False,0.7023,2.29,pubmedqa
baseline,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India. However, it mentions his participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is in India. The Dwarka radar station mentioned in the context is not located on the western shore but on the northwestern coast of Gujarat, India. Therefore, it's likely that the radar station Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India was a different one than the ones mentioned in the context about the Mukachevo and Sevastopol radar stations.",0.7607,False,0.5217,5.65,hotpotqa
hcpc_v1,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla, I cannot find this information in the provided context about Vice-Admiral Iqbal Fazl Quadir participating in an attack on a radar station located on the western shore of the Okhamandal Peninsula. The context only mentions radar stations in Ukraine and does not provide any details about any attacks or locations related to Admiral Iqbal Fazl Quadir.,0.7477,False,0.5011,2.89,hotpotqa
hcpc_v2,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India. However, it mentions his participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is in India. The Dwarka radar station mentioned in the context is not located on the western shore of the Okhamandal Peninsula but on the western coast of Gujarat, India. Therefore, it can be assumed that Vice-Admiral Iqbal Fazl Quadir was on a military mission during the second war with India when he attacked a radar station on the western shore of the Okhamandal Peninsula, but the exact location and type of the radar station are not specified in the provided context.",0.802,False,0.5217,6.57,hotpotqa
crag,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," Vice-Admiral Iqbal Fazl Quadir was part of the flotilla during his participation in the attack on the radar station, but the text does not specify the type of vehicle or vessel he was on.",0.7006,False,0.572,1.89,hotpotqa
selfrag,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,Se va st op and was part of th est ab lish ment of the S ov iet n avy in Se v ast opol .   </s>,0.4364,True,0.5217,6.91,hotpotqa
baseline,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",0.4984,True,0.6046,1.29,hotpotqa
hcpc_v1,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," I cannot find this information in the provided context. The context only mentions that Tivolis Koncertsal was built between 1954 and 1956, but it does not provide any details about when Tivoli Gardens, where the concert hall is located, opened.",0.7656,False,0.5715,2.38,hotpotqa
hcpc_v2,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",0.4984,True,0.6046,1.16,hotpotqa
crag,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",0.4984,True,0.6046,1.22,hotpotqa
selfrag,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"The park is loc at d in T iv oli G ard ens , C open hagen .   </s>",0.4267,True,0.6046,4.8,hotpotqa
baseline,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",0.757,False,0.4265,1.42,hotpotqa
hcpc_v1,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian are Armenian-American, sharing Armenia as their country of ancestry.",0.9851,False,0.4105,1.18,hotpotqa
hcpc_v2,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian are Armenian-American, sharing Armenia as their country of ancestry.",0.9851,False,0.4265,1.26,hotpotqa
crag,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian, Armenia,1.0,False,0.4657,0.28,hotpotqa
selfrag,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,The event was host ed by Ar gent ina ' s N ation a I ▁Sc out Associ ation .  </s>,0.353,True,0.4265,4.75,hotpotqa
baseline,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence," The context does not provide information about any designation of the school (Wilmslow High School) other than it being a mixed-sex 11–18 comprehensive secondary school and a designated Centre of Excellence. It is also noted that Dr. James Pullé is the head teacher, but no specific designations for the school are mentioned beyond those. Therefore, I cannot find this information in the provided context.",0.5905,False,0.5763,3.41,hotpotqa
hcpc_v1,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence, A Centre of Excellence,0.4903,True,0.5997,0.27,hotpotqa
hcpc_v2,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence, The school in which the Wilmslow Show is held is designated as a Centre of Excellence.,0.66,False,0.5753,1.02,hotpotqa
crag,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence, The school in which the Wilmslow Show is held is designated as a Centre of Excellence.,0.66,False,0.7349,0.88,hotpotqa
selfrag,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The f es it val is st ill h eld in Oct ob ers , but the f es it als are h eld in J uly .   </s>",0.2667,True,0.5763,3.7,hotpotqa
baseline,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan," I cannot find information about who Billy Howle will be seen opposite in an upcoming British drama film directed by Dominic Cooke, as that information is not provided in the context.",0.5769,False,0.4522,1.94,hotpotqa
hcpc_v1,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan," Saoirse Ronan, in the drama ""On Chesil Beach"".",0.8432,False,0.4514,0.91,hotpotqa
hcpc_v2,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan, I cannot find this information in the provided context. The context does not mention any upcoming British drama film directed by Dominic Cooke featuring Billy Howle.,0.6323,False,0.4526,1.71,hotpotqa
crag,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan," Saoirse Ronan (in the drama ""On Chesil Beach"")",0.7317,False,0.5269,0.79,hotpotqa
selfrag,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,[ Re view ]  </s>,0.5172,False,0.4522,1.49,hotpotqa
baseline,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie featuring Danny DeVito that was written or produced by Kool Kojak.,0.6723,False,0.3942,1.78,hotpotqa
hcpc_v1,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie starring Danny DeVito or any connection to Kool Kojak.,0.6879,False,0.4229,1.38,hotpotqa
hcpc_v2,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie featuring Danny DeVito that was written or produced by Kool Kojak.,0.6723,False,0.3942,1.76,hotpotqa
crag,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movies that Danny DeVito starred in or had music written and produced by Kool Kojak.,0.5909,False,0.3747,1.71,hotpotqa
selfrag,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,He is also a former ▁member of the W or ce ster City C oun cil .  </s>,0.5608,False,0.3942,3.26,hotpotqa
baseline,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The context only mentions Jean-Claude Van Damme and Matt Battaglia as actors who have portrayed Luc Deveraux in the Universal Soldier franchise, but it does not mention any other films they may have starred in outside of the Universal Soldier series.",0.5645,False,0.7012,2.93,hotpotqa
hcpc_v1,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context are Jean-Claude Van Damme and Matt Battaglia, neither of whom have been associated with the movies Holby City, Doctor Strange, the Bourne Ultimatum, or Zero Dark Thirty.",0.5919,False,0.6784,2.32,hotpotqa
hcpc_v2,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context are Jean-Claude Van Damme and Matt Battaglia, but none of them have been associated with the movies you've listed (Holby City, Doctor Strange, The Bourne Ultimatum, and Zero Dark Thirty).",0.4441,True,0.7012,2.87,hotpotqa
crag,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context only played roles in the Universal Soldier franchise, not in Holby City, Doctor Strange, the Bourne Ultimatum, or Zero Dark Thirty.",0.699,False,0.6971,2.22,hotpotqa
selfrag,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,and the film w ast he big gest op ener in 1 9 9 2 .  </s>,0.6647,False,0.7012,4.72,hotpotqa
baseline,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace," Jack Lowden, who portrayed Young Tom Morris in Tommy's Honour, found his first major international onscreen success with the 2016 BBC miniseries ""War & Peace.""",0.5322,False,0.4425,1.95,hotpotqa
hcpc_v1,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace, I cannot find this information in the provided context. The context does not mention any connection between the actor in Tommy's Honour and the 2016 BBC miniseries.,0.499,True,0.487,1.55,hotpotqa
hcpc_v2,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace," Jack Lowden, who portrayed Young Tom Morris in Tommy's Honour, found his first major international onscreen success with the 2016 BBC miniseries ""War & Peace.""",0.5322,False,0.447,1.83,hotpotqa
crag,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace, War & Peace,0.5122,False,0.5173,0.33,hotpotqa
selfrag,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,"He al so app ears in "" The D ress er "" ( 2 0 1 6 ).  </s>",0.9585,False,0.4425,4.98,hotpotqa
baseline,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,0.6932,False,0.5509,1.0,hotpotqa
hcpc_v1,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, I cannot find this information in the provided context regarding either Switchfoot or Midnight Oil choosing their names by drawing them out of a hat.,0.833,False,0.5693,1.14,hotpotqa
hcpc_v2,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,0.6932,False,0.5509,0.95,hotpotqa
crag,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,0.6932,False,0.552,0.89,hotpotqa
selfrag,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,He is st ill play ing with M id night O il .  </s>,0.6088,False,0.5509,4.03,hotpotqa
baseline,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find the birth year of the artist who sang ""Tunak"" in the provided context.",0.6222,False,0.4999,1.45,hotpotqa
hcpc_v1,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find the birth year of the artist Daler Mehndi who sang ""Tunak"" in the provided context.",0.6179,False,0.5122,1.13,hotpotqa
hcpc_v2,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find this information in the provided context. The context does not mention the birth year of Daler Mehndi, the artist who created ""Tunak Tunak Tun.""",0.6761,False,0.4999,1.91,hotpotqa
crag,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967, I cannot find the birth year of the artist Daler Mehndi in the provided context.,0.5753,False,0.5944,0.94,hotpotqa
selfrag,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,"S oh ni S in 2 0 1 4 , K ala S her in  </s>",0.7488,False,0.4999,4.62,hotpotqa
baseline,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population.,0.5854,False,0.489,2.1,hotpotqa
hcpc_v1,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population.,0.5854,False,0.5212,1.64,hotpotqa
hcpc_v2,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population.,0.5854,False,0.489,2.04,hotpotqa
crag,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war.,0.7696,False,0.6179,0.99,hotpotqa
selfrag,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,He and his w ife  </s>,0.5658,False,0.489,2.35,hotpotqa
baseline,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about which other films Emilio Estevez starred in the same year as ""Nightmares"". However, it is known that he acted in the 1983 hit movie ""The Outsiders"" along with ""Nightmares"".",0.6815,False,0.5696,2.6,hotpotqa
hcpc_v1,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," I cannot find information about which other film Emilio Estevez starred in the same year as ""Nightmares"" in the provided context.",0.5234,False,0.6225,1.3,hotpotqa
hcpc_v2,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about which other film Emilio Estevez starred in the same year as ""Nightmares"". However, it is known that he acted in the 1983 hit movie ""The Outsiders"" along with ""Nightmares"", according to the provided context.",0.5729,False,0.5696,2.72,hotpotqa
crag,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The provided context does not mention any other film that Emilio Estevez starred in the same year as ""Nightmares"". However, it is known that he also acted in ""The Outsiders"" in 1983.",0.8504,False,0.5839,2.19,hotpotqa
selfrag,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,He is also an Am il ion aire and the you ng er bro ther of act ors J on H eder and Ad am H eder .  </s>,0.0565,True,0.5696,6.62,hotpotqa
baseline,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," I cannot find information in the provided context about what kind of business Eric S. Pistorius worked for after being an attorney. The context only mentions that he was a lawyer and specialized in various areas such as personal injury, litigation, criminal defense, and collections.",0.5713,False,0.4267,2.56,hotpotqa
hcpc_v1,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region, I cannot find this information in the provided context as it does not mention the type of business or organization that Eric S. Pistorius worked for after becoming a Circuit court Judge of the Seventh Circuit of Illinois.,0.4393,True,0.4305,1.85,hotpotqa
hcpc_v2,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," I cannot find information in the provided context about what kind of business Eric S. Pistorius worked for after being an attorney. The context only mentions that he was an attorney at law and specialized in various areas such as personal injury, litigation, criminal defense, and collections.",0.556,False,0.4265,2.52,hotpotqa
crag,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," The provided context does not specify the name or nature of the law firm where Eric S. Pistorius worked as an attorney, so I cannot determine the concept of the business he was working for after being an attorney.",0.276,True,0.5591,1.71,hotpotqa
selfrag,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,"He is also an ex per ien ced tri al att orn y , h aving t ried over 2 0 0 j ury tri als .  </s>",0.4143,True,0.4267,6.39,hotpotqa
baseline,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not mention any port city located approximately 25 km north of the Lingnan Fine Arts Museum.,0.7128,False,0.4282,1.61,hotpotqa
hcpc_v1,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context as it does not mention any port city located approximately 25 km north of the Lingnan Fine Arts Museum.,0.595,False,0.4305,1.31,hotpotqa
hcpc_v2,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context as it does not mention any port city located approximately 25 km north of the Lingnan Fine Arts Museum.,0.595,False,0.4282,1.51,hotpotqa
crag,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not specify the location's proximity to any port city.,0.6798,False,0.6565,0.97,hotpotqa
selfrag,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,"The ci y is div ided int oth ree are as : the N or thern , S ou thern , and E astern Dist ri ict s .  </s>",0.304,True,0.4282,7.2,hotpotqa
baseline,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes," I cannot find information about Édouard Roger-Vasselin's career records in the provided context, so I am unable to compare the number of events won by Stefan Edberg and Édouard Roger-Vasselin.",0.4756,True,0.5402,2.19,hotpotqa
hcpc_v1,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes, I cannot find this information in the provided context as it does not mention Édouard Roger-Vasselin or his tennis career.,0.588,False,0.5513,1.17,hotpotqa
